Data from https://doi.org/10.1103/PhysRevMaterials.3.044406
Upon heating
Temperature(K)	Heat capacity(J/kg/K)
259.2	1897.42
259.3	1827.38
259.4	1766.42
259.5	1706.55
259.6	1642.43
259.7	1589.15
259.8	1528.45
259.9	1476.12
260	1423.64
260.1	1379.36
260.2	1328.05
260.3	1286.36
260.4	1249.11
260.5	1210.8
260.6	1173
260.7	1140.69
260.8	1104.04
260.9	1162.15
261	1195.36
261.1	1028.8
261.2	984.62
261.3	962.04
261.4	934.8
261.5	910.99
261.6	888.61
261.7	881.14
261.8	864.74
261.9	832.81
262	811.28
262.1	793.89
262.2	777.5
262.3	762.4
262.4	747.42
262.5	735.21
262.6	720.86
262.7	707.13
262.8	695.48
262.9	685.33
263	675.54
263.1	664.34
263.2	655.67
263.3	646.03
263.4	637.5
263.5	630.54
263.6	622.34
263.7	615.56
263.8	608.06
263.9	602.03
264	595.42
264.1	589.81
264.2	584.06
264.3	579.29
264.4	574.58
264.5	571.93
264.6	565.83
264.7	561.06
264.8	557.23
264.9	553.57
265	550.05
265.1	546.36
265.2	543.23
265.3	540.6
265.4	537.61
265.5	546.55
265.6	534.59
265.7	529.68
265.8	527.27
265.9	524.98
266	523.03
266.1	520.66
266.2	521.75
266.3	517.01
266.4	515.2
266.5	513.38
266.6	511.64
266.7	509.99
266.8	508.55
266.9	506.98
267	505.6
267.1	504.48
267.2	503.25
267.3	501.78
267.4	500.53
267.5	499.62
267.6	498.71
267.7	497.67
267.8	496.61
267.9	495.72
268	494.63
268.1	493.79
268.2	492.91
268.3	492.15
268.4	491.42
268.5	490.9
268.6	490.03
268.7	241.78
268.8	478.65
268.9	478.51
269	478.52
269.1	478.53
269.2	478.54
269.3	478.54
269.4	478.55
269.5	478.56
269.6	478.57
269.7	478.58
269.8	478.59
269.9	478.59
270	478.6
270.1	478.61
270.2	478.62
270.3	478.63
270.4	478.64
270.5	478.64
270.6	478.65
270.7	478.66
270.8	478.67
270.9	478.68
271	478.69
271.1	478.69
271.2	478.7
271.3	478.71
271.4	478.72
271.5	478.73
271.6	478.74
271.7	478.74
271.8	478.75
271.9	478.76
272	478.77
272.1	478.78
272.2	478.79
272.3	478.8
272.4	478.8
272.5	478.81
272.6	478.82
272.7	478.83
272.8	478.84
272.9	478.85
273	478.85
273.1	478.86
273.2	478.87
273.3	478.88
273.4	478.89
273.5	478.9
273.6	478.9
273.7	478.91
273.8	478.92
273.9	478.93
274	478.94
274.1	478.95
274.2	478.95
274.3	478.96
274.4	478.97
274.5	478.98
274.6	478.99
274.7	479
274.8	479
274.9	479.01
275	479.02
275.1	479.03
275.2	479.04
275.3	479.05
275.4	479.06
275.5	479.06
275.6	479.07
275.7	479.08
275.8	479.09
275.9	479.1
276	479.11
276.1	479.11
276.2	479.12
276.3	479.13
276.4	479.14
276.5	479.15
276.6	479.16
276.7	479.16
276.8	479.17
276.9	479.18
277	479.19
277.1	479.2
277.2	479.21
277.3	479.21
277.4	479.22
277.5	479.23
277.6	479.24
277.7	479.25
277.8	479.26
277.9	479.26
278	479.27
278.1	479.28
278.2	479.29
278.3	479.3
278.4	479.31
278.5	479.32
278.6	479.32
278.7	479.33
278.8	479.34
278.9	479.35
279	479.36
279.1	479.37
279.2	479.37
279.3	479.38
279.4	479.39
279.5	479.4
279.6	479.41
279.7	479.42
279.8	479.42
279.9	479.43
280	479.44
280.1	479.45
280.2	479.46
280.3	479.47
280.4	479.47
280.5	479.48
280.6	479.49
280.7	479.5
280.8	479.51
280.9	479.52
281	479.52
281.1	479.53
281.2	479.54
281.3	479.55
281.4	479.56
281.5	479.57
281.6	479.58
281.7	479.58
281.8	479.59
281.9	479.6
282	479.61
282.1	479.62
282.2	479.63
282.3	479.63
282.4	479.64
282.5	479.65
282.6	479.66
282.7	479.67
282.8	479.68
282.9	479.68
283	479.69
283.1	479.7
283.2	479.71
283.3	479.72
283.4	479.73
283.5	479.73
283.6	479.74
283.7	479.75
283.8	479.76
283.9	479.77
284	479.78
284.1	479.78
284.2	479.79
284.3	479.8
284.4	479.81
284.5	479.82
284.6	479.83
284.7	479.84
284.8	479.84
284.9	479.85
285	479.86
285.1	479.87
285.2	479.88
285.3	479.89
285.4	479.89
285.5	479.9
285.6	479.91
285.7	479.92
285.8	479.93
285.9	479.94
286	479.94
286.1	479.95
286.2	479.96
286.3	479.97
286.4	479.98
286.5	479.99
286.6	479.99
286.7	480
286.8	480.01
286.9	480.02
287	480.03
287.1	480.04
287.2	480.04
287.3	480.05
287.4	480.06
287.5	480.07
287.6	480.08
287.7	480.09
287.8	480.1
287.9	480.1
288	480.11
288.1	480.12
288.2	480.13
288.3	480.14
288.4	480.15
288.5	480.15
288.6	480.16
288.7	480.17
288.8	480.18
288.9	480.19
289	480.2
289.1	480.2
289.2	480.21
289.3	480.22
289.4	480.23
289.5	480.24
289.6	480.25
289.7	480.25
289.8	480.26
289.9	480.27
290	480.28
290.1	480.29
290.2	480.3
290.3	480.3
290.4	480.31
290.5	480.32
290.6	480.33
290.7	480.34
290.8	480.35
290.9	480.36
291	480.36
291.1	480.37
291.2	480.38
291.3	480.39
291.4	480.4
291.5	480.41
291.6	480.41
291.7	480.42
291.8	480.43
291.9	480.44
292	480.45
292.1	480.46
292.2	480.46
292.3	480.47
292.4	480.48
292.5	480.49
292.6	480.5
292.7	480.51
292.8	480.51
292.9	480.52
293	480.53
293.1	480.54
293.2	480.55
293.3	480.56
293.4	480.56
293.5	480.57
293.6	480.58
293.7	480.59
293.8	480.6
293.9	480.61
294	480.62
294.1	480.62
294.2	480.63
294.3	480.64
294.4	480.65
294.5	480.66
294.6	480.67
294.7	480.67
294.8	480.68
294.9	480.69
295	480.7
295.1	480.71
295.2	480.72
295.3	480.72
295.4	480.73
295.5	480.74
295.6	480.75
295.7	480.76
295.8	480.77
295.9	480.77
296	480.78
296.1	480.79
296.2	480.8
296.3	480.81
296.4	480.82
296.5	480.82
296.6	480.83
296.7	480.84
296.8	480.85
296.9	480.86
297	480.87
297.1	480.88
297.2	480.88
297.3	480.89
297.4	480.9
297.5	480.91
297.6	480.92
297.7	480.93
297.8	480.93
297.9	480.94
298	480.95
298.1	480.96
298.2	480.97
298.3	480.98
298.4	480.98
298.5	480.99
298.6	481
298.7	481.01
298.8	481.02
298.9	481.03
299	481.03
299.1	481.04
299.2	481.05
299.3	481.06
299.4	481.07
299.5	481.08
299.6	481.08
299.7	481.09
299.8	481.1
299.9	481.11
300	111.6
